CO_PER_ROL,YEAR,CUSIP,CONAME,EXEC_FNAME,EXEC_LNAME,TWITTER,T_NAME,Search Date,company related,personal related,Note,
48213,2017,3525510,ANIKA THERAPEUTICS INC,Charles,Sherwood,X,X,,,,,
34334,2017,3529010,ANIXTER INTL INC,Robert,Eck,X,X,,,,,
54961,2017,03662Q10,ANSYS INC,Ajei,Gopal,X,X,,,,,
49128,2017,3675210,ANTHEM INC,Joseph,Swedish,X,X,,,,,
30961,2017,G0408V10,AON PLC,Gregory,Case,X,X,,,,,
50448,2017,3741110,APACHE CORP,John,Christmann,X,X,,,,,
25130,2017,03748R10,APARTMENT INVST & MGMT CO,Terry,Considine,X,X,,,,,
45891,2017,3759810,APOGEE ENTERPRISES INC,Joseph,Puishys,X,X,,,,,
55432,2017,03762U10,APOLLO COMMERCIAL RE FIN INC,Stuart,Rothstein,X,X,,,,,
15741,2017,3783310,APPLE INC,Timothy,Cook,https://twitter.com/tim_cook,tim_cook,12,8,2018/11/23,,
46293,2017,03820C10,APPLIED INDUSTRIAL TECH INC,Neil,Schrimsher,X,X,,,,,
46415,2017,3822210,APPLIED MATERIALS INC,Gary,Dickerson,X,X,,,,,
55251,2017,03823U10,APPLIED OPTOELECTRONICS INC,Chih-Hsiang,Lin,X,X,,,,,
44668,2017,03834A10,APPROACH RESOURCES INC,J.,Craft,X,X,,,,,
59303,2017,3833610,APTARGROUP INC,Stephan,Tanda,X,X,,,,https://twitter.com/tandasb ???,
45695,2017,G6095L10,APTIV PLC,Kevin,Clark,X,X,,,,,
37458,2017,03836W10,AQUA AMERICA INC,Christopher,Franklin,https://twitter.com/chrisaquaceo,chrisaquaceo,20,0,2018/11/23,,
32141,2017,03937C10,ARCBEST CORP,Judy,McReynolds,X,X,,,,,
30333,2017,G0450A10,ARCH CAPITAL GROUP LTD,Constantine,Iordanou,X,X,,,,,
22711,2017,3938040,ARCH COAL INC,John,Eaves,X,X,,,,,
34620,2017,03957W10,ARCHROCK INC,D.,Childers,X,X,,,,,
60114,2017,03965L10,ARCONIC INC,David,Hess,X,X,,,,,
55482,2017,04208T10,ARMADA HOFFLER PROPERTIES,Louis,Haddad,X,X,,,,,
55806,2017,4231550,ARMOUR RESIDENTIAL REIT INC,Scott,Ulm,X,X,,,,,
38477,2017,4.27E+13,ARQULE INC,Paolo,Pucci,X,X,,,,,
43900,2017,G0551A10,ARRIS INTERNATIONAL PLC,Bruce,McClelland,X,X,,,,,
25575,2017,4273510,ARROW ELECTRONICS INC,Michael,Long,X,X,,,,,
54605,2017,36357610,ARTHUR J GALLAGHER & CO,Patrick,Gallagher,X,X,,,,,
52285,2017,4343610,ASBURY AUTOMOTIVE GROUP INC,Craig,Monaghan,X,X,,,,,
8903,2017,04351G10,ASCENA RETAIL GROUP INC,David,Jaffe,X,X,,,,,
27741,2017,00191U10,ASGN INC,Peter,Dameris,X,X,,,,,
51698,2017,4418610,ASHLAND GLOBAL HOLDINGS INC,William,Wulfsohn,X,X,,,,,
43566,2017,G0538410,ASPEN INSURANCE HOLDINGS LTD,Christopher,O'Kane,X,X,,,,,
38410,2017,4532710,ASPEN TECHNOLOGY INC,Antonio,Pietri,https://twitter.com/antoniojpietri,antoniojpietri,15,0,2018/11/23,,
39259,2017,4548710,ASSOCIATED BANC-CORP,Philip,Flynn,X,X,,,,,
45769,2017,04621X10,ASSURANT INC,Alan,Colberg,X,X,,,,,
50147,2017,4622410,ASTEC INDUSTRIES INC,Benjamin,Brock,X,X,,,,,
28491,2017,00206R10,AT&T INC,Randall,Stephenson,X,X,,,,,
32605,2017,4916420,ATLAS AIR WORLDWIDE HLDG INC,William,Flynn,X,X,,,,,
33845,2017,4956010,ATMOS ENERGY CORP,Kim,Cocklin,X,X,,,,,
42959,2017,00215F10,ATN INTERNATIONAL INC,Michael,Prior,X,X,,,,,
47499,2017,5276910,AUTODESK INC,Amar,Hanspal,X,X,,,,,
38270,2017,5301510,AUTOMATIC DATA PROCESSING,Carlos,Rodriguez,X,X,,,,,
20938,2017,05329W10,AUTONATION INC,Michael,Jackson,https://twitter.com/ceomikejackson,ceomikejackson,10,10,2018/11/23,,
29993,2017,5333210,AUTOZONE INC,William,Rhodes,X,X,,,,,
28783,2017,5348410,AVALONBAY COMMUNITIES INC,Timothy,Naughton,X,X,,,,,
43265,2017,5361110,AVERY DENNISON CORP,Mitchell,Butier,X,X,,,,,
49651,2017,05367P10,AVID TECHNOLOGY INC,Louis,Hernandez,https://twitter.com/lhernandezjr,lhernandezjr,6,14,2018/11/23,,
34381,2017,5377410,AVIS BUDGET GROUP INC,Larry,De Shon,https://twitter.com/ceolarrydeshon,ceolarrydeshon,20,0,2018/11/23,,
24529,2017,05379B10,AVISTA CORP,Scott,Morris,X,X,,,,,
55553,2017,5380710,AVNET INC,William,Amelio,X,X,,,,,
46963,2017,5430310,AVON PRODUCTS,Sherilyn S.,McCoy,X,X,,,,,
53405,2017,244410,AVX CORP,John,Sarvis,X,X,,,,,
19822,2017,05453N10,AWARE INC,Richard,Moberg,X,X,,,,,
22078,2017,5454020,AXCELIS TECHNOLOGIES INC,Mary,Puma,X,X,,,,,
45763,2017,G0692U10,AXIS CAPITAL HOLDINGS LTD,Albert,Benchimol,X,X,,,,,
48629,2017,05464C10,AXON ENTERPRISE INC,Patrick,Smith,https://twitter.com/axonrick,axonrick,10,10,2018/11/28,,
18013,2017,00246W10,AXT INC,Morris,Young,X,X,,,,,
49446,2017,247410,AZZ INC,Thomas,Ferguson,X,X,,,,,
43571,2017,05508R10,B&G FOODS INC,Robert,Cantwell,X,X,,,,,
38480,2017,5652510,BADGER METER INC,Richard,Meeusen,https://twitter.com/rmeeusen?lang=zh-tw,rmeeusen,19,1,2018/11/28,,
60148,2017,05722G10,BAKER HUGHES A GE CO,Lorenzo,Simonelli,https://twitter.com/simonelli_l?lang=zh-tw,simonelli_l,20,0,2018/11/28,,
53147,2017,5766520,BALCHEM CORP -CL B,Theodore,Harris,X,X,,,,,
32263,2017,5849810,BALL CORP,John,Hayes,X,X,,,,,
59623,2017,05990K10,BANC OF CALIFORNIA INC,Douglas,Bowers,X,X,,,,,
46800,2017,05971J10,BANCORPSOUTH BANK,James,Rollins,https://twitter.com/jdrollins3,jdrollins3,20,0,0208/11/28,,
28715,2017,6050510,BANK OF AMERICA CORP,Brian,Moynihan,X,X,,,,,
30401,2017,6254010,BANK OF HAWAII CORP,Peter,Ho,X,X,,,,,
14209,2017,6405810,BANK OF NEW YORK MELLON CORP,Gerald,Hassell,X,X,,,,,
38486,2017,6390410,BANK OF THE OZARKS,George,Gleason,X,X,,,,,
46525,2017,06652V20,BANNER CORP,Mark,Grescovich,X,X,,,,,
32981,2017,6780610,BARNES GROUP INC,Patrick,Dempsey,X,X,,,,,
38820,2017,6790110,BARRICK GOLD CORP,Kelvin P.,Dushnisky,X,X,,,,,
34391,2017,06985P20,BASIC ENERGY SERVICES INC,Thomas,Patterson,X,X,,,,,
8802,2017,7020310,BASSETT FURNITURE INDS,Robert,Spilman,X,X,,,,,
52422,2017,7181310,BAXTER INTERNATIONAL INC,Jos,Almeida,X,X,,,,,
9224,2017,5493710,BB&T CORP,Kelly,King,X,X,,,,,
35249,2017,07556Q88,BEAZER HOMES USA INC,Allan,Merrill,X,X,,,,,
20679,2017,7588710,BECTON DICKINSON & CO,Vincent,Forlenza,X,X,,,,,
13067,2017,7589610,BED BATH & BEYOND INC,Steven,Temares,X,X,,,,,
20622,2017,7734730,BEL FUSE INC,Daniel,Bernstein,X,X,,,,,
30983,2017,7745410,BELDEN INC,John,Stroup,X,X,,,,,
54469,2017,G1154H10,BELMOND LTD,H.,Vos,X,X,,,,,
28660,2017,8143710,BEMIS CO INC,William,Austen,X,X,,,,,
54808,2017,08160H10,BENCHMARK ELECTRONICS INC,Paul,Tufano,X,X,,,,,
29129,2017,8442310,BERKLEY (W R) CORP,William,Berkley,X,X,,,,,
4699,2017,8467070,BERKSHIRE HATHAWAY,Warren,Buffett,https://twitter.com/WarrenBuffett?lang=zh-tw,WarrenBuffett,4,3,2018/11/29,????,
12363,2017,08499X00,BERKSHIRE HATHAWAY ENERGY CO,Gregory,Abel,X,X,,,,,
60429,2017,8468010,BERKSHIRE HILLS BANCORP INC,Michael,Daly,X,X,,,,,
34398,2017,08915P10,BIG 5 SPORTING GOODS CORP,Steven,Miller,X,X,,,,,
48838,2017,8930210,BIG LOTS INC,David,Campisi,X,X,,,,2018/4/17 ??,
37490,2017,08986R30,BIGLARI HOLDINGS INC,Sardar,Biglari,X,X,,,,,
55292,2017,09062X10,BIOGEN INC,Michel,Vounatsos,X,X,,,,,
52736,2017,9091120,BIOLASE INC,Harold,Flynn,X,X,,,,,
17343,2017,9057220,BIO-RAD LABORATORIES INC,Norman,Schwartz,X,X,,,,,
47883,2017,09073M10,BIO-TECHNE CORP,Charles,Kummeth,X,X,,,,,
53829,2017,9067210,BIOTELEMETRY INC,Joseph,Capper,X,X,,,,,
54369,2017,9.08E+13,BIOVERATIV INC,John,Cox,X,X,,,,,
47615,2017,09180C10,BJ'S RESTAURANTS INC,Gregory,Trojan,X,X,,,,,
24173,2017,9211310,BLACK HILLS CORP,David,Emery,X,X,,,,,
50392,2017,09215C10,BLACK KNIGHT INC,Thomas,Sanzone,X,X,,,,,
51248,2017,09227Q10,BLACKBAUD INC,Michael,Gianoni,https://twitter.com/mikegianoni,mikegianoni,20,0,2018/11/29,,
28691,2017,09247X10,BLACKROCK INC,Laurence,Fink,X,X,,,,,
55016,2017,9522910,BLUCORA INC,John,Clendening,X,X,,,,,
52756,2017,05591B10,BMC STOCK HOLDINGS INC,Peter,Alexander,X,X,,,,,
45065,2017,9702310,BOEING CO,Dennis,Muilenburg,https://twitter.com/BoeingCEO,BoeingCEO,18,2,2018//11/29,,
48044,2017,05566U10,BOFI HOLDING INC,Gregory,Garrabrants,X,X,,,,,
50187,2017,09739D10,BOISE CASCADE CO,Thomas,Corrick,X,X,,,,,
60326,2017,9779340,BONANZA CREEK ENERGY INC,R.,Bullock,X,X,,,,,
46021,2017,09857L10,BOOKING HOLDINGS INC,Glenn,Fogel,X,X,,,,,
45566,2017,9972410,BORGWARNER INC,James,Verrier,X,X,,,,,
36165,2017,10055710,BOSTON BEER INC -CL A,Martin,Roper,X,X,,,,,
44190,2017,10111910,BOSTON PRIVATE FINL HOLDINGS,Clayton,Deutsch,X,X,,,,,
49045,2017,10112110,BOSTON PROPERTIES INC,Owen,Thomas,X,X,,,,,
45532,2017,10113710,BOSTON SCIENTIFIC CORP,Michael,Mahoney,X,X,,,,,
43176,2017,10138810,BOTTOMLINE TECHNOLOGIES INC,Robert,Eberle,X,X,,,,,
26600,2017,10330410,BOYD GAMING CORP,Keith,Smith,X,X,,,,,
51556,2017,10467410,BRADY CORP,J.,Nauman,X,X,,,,,
29880,2017,10904310,BRIGGS & STRATTON,Todd,Teske,X,X,,,,,
31758,2017,10919410,BRIGHT HORIZONS FAMILY SOLTN,David,Lissy,X,X,,,,,
58090,2017,10922N10,BRIGHTHOUSE FINANL INC,Eric,Steigerwalt,X,X,,,,,
42909,2017,10964110,BRINKER INTL INC,Wyman,Roberts,X,X,,,,,
54357,2017,10969610,BRINKS CO,Douglas,Pertz,X,X,,,,,
48343,2017,11012210,BRISTOL-MYERS SQUIBB CO,Giovanni,Caforio,X,X,,,,,
44413,2017,11039410,BRISTOW GROUP INC,Jonathan,Baliff,X,X,,,,,
49437,2017,11135F10,BROADCOM INC,Hock,Tan,X,X,,,,,
36048,2017,11133T10,BROADRIDGE FINANCIAL SOLUTNS,Richard,Daly,X,X,,,,,
20562,2017,11141270,BROADVISION INC,Pehong,Chen,https://twitter.com/PehongChen,PehongChen,15,0,2018/11/29,,
39701,2017,11373M10,BROOKLINE BANCORP INC,Paul,Perrault,X,X,,,,,
37772,2017,11523610,BROWN & BROWN INC,J.,Brown,X,X,,,,,
38844,2017,11704310,BRUNSWICK CORP,Mark,Schwabero,X,X,,,,,
36171,2017,11844010,BUCKLE INC,Dennis,Nelson,X,X,,,,,
19062,2017,12541W20,C H ROBINSON WORLDWIDE INC,John,Wiehoff,X,X,,,,,
48087,2017,12674R10,C&J ENERGY SERVICES INC,Donald,Gawick,X,X,,,,,
51401,2017,12685J10,CABLE ONE INC,Julia,Laulis,X,X,,,,,
38852,2017,12705510,CABOT CORP,Sean,Keohane,X,X,,,,,
49936,2017,12709P10,CABOT MICROELECTRONICS CORP,David,Li,X,X,,,,,
23837,2017,12709710,CABOT OIL & GAS CORP,Dan,Dinges,X,X,,,,,
