name,id_str,CO_PER_ROL,YEAR,EXEC_FULLNAME,followers_count,friends_count,lang,account_created
susansalka,'515888995,31795,2017,Susan R. Salka,883,77,en,2012-03-05 21:33:44
MikeMinogueABMD,'206136745,46485,2017,Michael R. Minogue,1022,295,fr,2010-10-22 10:41:20
roncohenshair,'2420618906,46385,2017,Ron Cohen,2647,754,en,2014-03-31 14:27:13
BobbyKotick,'564842634,51675,2017,Robert A. Kotick,8254,84,en,2012-04-27 16:59:40
lisawwardell,'25085137,53525,2017,Lisa W. Wardell,1324,373,en,2009-03-18 14:55:56
mikeAECOM,'269599140,39865,2017,Michael S. Burke,2229,233,en,2011-03-21 03:07:05
LisaSu,'836224570013138944,46953,2017,Lisa T. Su,27602,180,en,2017-02-27 14:40:48
YuvalWasserman,'881731783276064768,34297,2017,Yuval Wasserman,21,16,en,2017-07-03 04:30:13
mtbert,'71049139,32394,2017,Mark Thomas Bertolini,16914,566,en,2009-09-02 19:18:20
TomLeightonAKAM,'1688565908,49100,2017,F. Thomson Leighton,3556,386,en,2013-08-21 15:18:30
TheTattooJew,'1889663630,34318,2017,"Joel S. Marcus, CPA, J.D.",41,138,en,2013-09-21 10:01:20
PaulMBlack,'3279729560,47480,2017,Paul M. Black,964,338,en,2015-07-14 15:43:42
Plaid_Page,'245464594,31079,2017,Lawrence Edward Page,28799,249,en,2011-01-31 19:17:00
jeffbezos,'15506669,14745,2017,Jeffrey P. Bezos,870700,0,en,2008-07-20 22:38:36
wallyboston,'17598413,40040,2017,"Wallace E. Boston, Jr.",2287,2508,en,2008-11-24 19:07:40
stevecollis_abc,'758712296784924673,24915,2017,Steven H. Collis,439,164,en,2016-07-28 17:14:42
tim_cook,'1636590253,15741,2017,Timothy D. Cook,11114655,61,en,2013-07-31 22:41:25
chrisaquaceo,'805920813379686400,37458,2017,Christopher H. Franklin,157,44,en,2016-12-05 23:44:30
antoniojpietri,'824239407045771266,38410,2017,Antonio J. Pietri,42,20,en,2017-01-25 12:56:03
ceomikejackson,'183215374,20938,2017,Michael J. Jackson,14931,921,en,2010-08-26 12:47:12
lhernandezjr,'561581262,49651,2017,"Louis Hernandez, Jr.",1549,292,en,2012-04-23 21:55:52
ceolarrydeshon,'803245606689013760,34381,2017,Larry D. De Shon,1139,151,en,2016-11-28 14:34:11
axonrick,'47542549,48629,2017,Patrick W. Smith,1714,87,en,2009-06-16 04:30:36
rmeeusen,'41354474,38480,2017,Richard A. Meeusen,1299,16,en,2009-05-20 13:09:40
simonelli_l,'2757506133,60148,2017,Lorenzo Simonelli,5660,503,en,2014-08-31 20:45:46
jdrollins3,'258619508,46800,2017,"James D. Rollins, III",65,131,en,2011-02-28 03:13:23
WarrenBuffett,'1364930179,4699,2017,Warren E. Buffett,1495278,0,en,2013-04-19 17:07:38
mikegianoni,'2847960924,51248,2017,Michael P. Gianoni,2761,2077,en,2014-10-08 23:42:20
BoeingCEO,'3355496165,45065,2017,Dennis A. Muilenburg,15558,86,en,2015-07-02 18:10:10
PehongChen,'34510836,20562,2017,Pehong Chen,110,17,en,2009-04-23 03:08:16
SDLebovitz,'583301182,55319,2017,Stephen D. Lebovitz,1260,280,en,2012-05-18 00:23:52
ChuckRobbins,'16810559,47917,2017,Charles H. Robbins,41467,241,en,2008-10-16 17:38:27
KirillTatarinov,'904824702,55348,2017,Kirill Tatarinov,19463,119,en,2012-10-25 22:53:00
gfulgoni,'23516942,40022,2017,Gian M. Fulgoni,6485,692,en,2009-03-09 22:44:42
DamonHininger,'877713558,41861,2017,Damon T. Hininger,93,399,en,2012-10-13 12:29:54
golf02022002,'229981196,39446,2017,"Victor Gordon Clemons, Sr.",32,44,en,2010-12-23 22:28:04
PeterUngaro1,'399471748,52222,2017,Peter J. Ungaro,116,102,en,2011-10-27 15:06:39
CEOCrossCountry,'1729247036,49123,2017,William J. Grubbs,216,172,en,2013-09-04 16:27:13
JAReinstein,'368952901,60228,2017,James A. Reinstein,113,295,en,2011-09-06 14:22:03
HassaneElkhoury,'1661451806,52613,2017,Hassane El-Khoury,322,80,en,2013-08-11 02:35:07
MikeDurney1,'2366027197,46268,2017,Michael P. Durney,42,20,en,2014-02-28 19:14:19
KentThiry,'862128018,21028,2017,Kent J. Thiry,3391,402,en,2012-10-04 22:29:13
MichaelDell,'58560480,4471,2017,Michael S. Dell,666526,3207,en,2009-07-20 19:12:29
RobertIger,'823307478360150018,20714,2017,Robert A. Iger,93891,86,en,2017-01-22 23:12:54
BobCarrigan,'22529392,48708,2017,Robert P. Carrigan,4967,645,en,2009-03-02 20:33:19
nigeltravis,'820978009,51216,2017,Nigel Travis,1648,10,en,2012-09-13 06:08:16
robert_flexon,'847908083904983040,45962,2017,Robert C. Flexon,2,5,en,2017-03-31 20:26:55
devinwenig,'234859616,45686,2017,Devin N. Wenig,11707,191,en,2011-01-06 19:10:02
echoceo,'89600998,51017,2017,Douglas R. Waggoner,93,22,und,2009-11-13 02:04:30
CEOEcolab,'735918311859322880,23730,2017,"Douglas M. Baker, Jr.",1124,252,en,2016-05-26 19:39:33
GuyGecht,'525058171,46511,2017,Guy Gecht,940,235,en,2012-03-15 05:20:35
DavidFieldETM,'351997275,20826,2017,David J. Field,3968,464,en,2011-08-10 00:45:27
dkhos,'41642329,34604,2017,Dara Khosrowshahi,86431,424,en,2009-05-21 18:17:34
Gary_Norcross,'2903827717,37283,2017,Gary Adam Norcross,3413,241,en,2014-11-18 16:04:42
jeffyabuki,'257772210,30590,2017,Jeffrey W. Yabuki,2274,4,en,2011-02-26 04:00:12
sandrodinello,'847072382443499521,42620,2017,Alessandro P. DiNello,25,37,en,2017-03-29 13:06:08
gcolony,'16002567,39627,2017,George F. Colony,15458,81,en,2008-08-26 20:53:23
KenXieFortinet,'1052359200368541696,48674,2017,Ken Xie,307,96,en,2018-10-17 00:42:40
Artpeck,'355528975,37246,2017,Arthur Peck,50,38,en,2011-08-15 14:09:43
JeffImmelt,'771525061,21042,2017,Jeffrey R. Immelt,58533,134,en,2012-08-21 13:34:18
mtbarra,'1219824320,47522,2017,Mary T. Barra,45060,70,en,2013-02-25 21:27:47
lloydblankfein,'313381067,24950,2017,Lloyd C. Blankfein,103144,26,en,2011-06-08 15:30:53
oshy,'14124000,50624,2017,Timothy J. OShaughnessy,2861,470,en,2008-03-11 14:48:35
BCLHMS,'410207576,34783,2017,William C. Lucia,334,485,en,2011-11-11 19:54:12
Karen_A_Puckett,'4060671740,52624,2017,Karen A. Puckett,418,669,en,2015-10-29 19:21:34
_bgoldner,'1935139158,21459,2017,Brian D. Goldner,666,488,en,2013-10-04 19:06:10
KRajagopalan_,'1117097478,52952,2017,Krishnan Rajagopalan,62,6,en,2013-01-24 15:49:50
MegWhitman,'20733756,51789,2017,Margaret Cushing Whitman,213113,302,en,2009-02-13 00:03:24
Masoniam,'236968898,54003,2017,Mark K. Mason,42,56,en,2011-01-11 19:44:38
BruceDBroussard,'934774592,45547,2017,Bruce Dale Broussard,5981,38,en,2012-11-08 15:37:41
joeyl,'5687182,53240,2017,Joseph M. Levin,124,191,en,2007-05-01 14:53:51
sgh_john,'2358268309,55260,2017,John N. Haugh,1237,243,en,2014-02-23 17:15:52
PittmanRadio,'279093933,45089,2017,Robert W. Pittman,17657,143,en,2011-04-08 15:35:29
fdesouza,'24974525,51887,2017,Francis A. deSouza,5175,455,en,2009-03-17 22:56:03
PaulBisaro,'1668464336,59445,2017,Paul M. Bisaro,60,59,und,2013-08-13 18:20:39
IloveIncyte,'2586495355,50766,2017,Herv Hoppenot,343,15,en,2014-06-24 23:07:53
chrisoddleifson,'2743155080,39396,2017,Christopher Oddleifson,101,41,en,2014-08-18 21:41:54
bkrunner,'250722893,47026,2017,Brian M. Krzanich,19941,15,en,2011-02-11 17:31:32
LesaISC,'264266813,18155,2017,Lesa France Kennedy,2266,156,en,2011-03-11 16:28:59
IntuitBrad,'591185779,30009,2017,Brad D. Smith,11125,576,en,2012-05-26 19:25:06
IridiumBoss,'29291334,50397,2017,Matthew J. Desch,8323,547,en,2009-04-06 20:56:45
HandlerRich,'1908078548,48744,2017,Richard Brian Handler,1693,4,en,2013-09-26 14:24:50
ramirahim,'25614274,47383,2017,Rami Rahim,4550,164,en,2009-03-21 01:14:20
Les_Wexner,'935604146383806465,1329,2017,Leslie H. Wexner,109,2,en,2017-11-28 20:19:45
JasonDLippert,'884430959986298880,31113,2017,Jason D. Lippert,141,36,en,2017-07-10 15:15:47
DougLebda,'21094145,51515,2017,Douglas R. Lebda,1084,297,en,2009-02-17 14:50:40
