CO_PER_ROL,YEAR,EXEC_FULLNAME,T_NAME
51968,2017,Peter A. Altabef,PAltabef
23094,2017,Larry D. Pinkston,X
32810,2017,Jimmy Carl Tallent,X
15216,2017,"Richard M. Adams, Sr.",X
53185,2017,Oscar Munoz,UnitedMunoz
30189,2017,Randy Allen Ramlo,RamloRandy
50386,2017,"John Leslie Forney, CFA",X
38445,2017,Steven L. Spinner,X
30406,2017,David P. Abney,X
27632,2017,Michael J. Kneeland,X
48544,2017,David Boyd Burritt,X
32130,2017,Gregory J. Hayes,X
37941,2017,Martine A. Rothblatt,Skybiome
16868,2017,Stephen J. Hemsley,X
51107,2017,Kenneth A. Gunderman,X
35175,2017,Paul D. Arling,X
27078,2017,"Matthew Jon Missad, CPA",mmissad1
42944,2017,Alan B. Miller,X
48553,2017,Sean Patrick Downes,X
6850,2017,Alan B. Miller,X
31580,2017,Kimberly J. McWaters,X
42292,2017,Richard Paul McKenney,UnumRick
36131,2017,Richard A. Hayne,X
52726,2017,Jeffrey S. Olson,X
31541,2017,"Alfred C. Liggins, III",X
36481,2017,Willing L. Biddle,X
49520,2017,Jeffrey R. Feeler,Jeff_Feeler
45362,2017,Steven E. Rendle,X
18245,2017,Patrick M. Lavelle,X
34092,2017,Joseph W. Gorder,X
39263,2017,Gerald Howard Lipkin,X
6864,2017,Mogens C. Bay,X
55301,2017,"Samuel J. Mitchell, Jr.",X
54363,2017,Sunny S. Sanyal,SunnySanyal
3320,2017,Carl L. Chapman,X
35213,2017,John R. Peeler,X
38137,2017,Debra A. Cafaro,X
52357,2017,Robert T. Wallstrom,X
48646,2017,Paul S. Galant,PaulGalant
37278,2017,D. James Bidzos,X
34098,2017,Lowell C. McAdam,X
50690,2017,Mary A. Laschinger,X
51685,2017,Scott G. Stephenson,sgsyes0619
45515,2017,Jeffrey Marc Leiden,X
53687,2017,Guillermo Novo,X
45786,2017,Steven W. Moster,X
30944,2017,Robert Marc Bakish,X
53707,2017,Oleg Khaykin,X
56416,2017,"Alfred Francis Kelly, Jr.",X
44851,2017,"George R. Aylward, Jr., CPA",X
9192,2017,Gerald Paul,X
60387,2017,Christopher T. Metz,X
52974,2017,Sachin S. Lawande,X
53075,2017,Colin Frederick Watts,X
52086,2017,Michael D. Dean,X
55782,2017,Alan B. Masarek,alanmasarek
29797,2017,Steven Roth,X
48826,2017,James Thomas Hill,X
9198,2017,Garry O. Ridge,LearningMoment
23321,2017,Terry D. McCallister,X
27080,2017,Allen Lewis Leverett,X
26041,2017,Richard J. Giromini,X
41670,2017,Raymond T. Betler,X
45672,2017,"Philip James Sanders, C.F.A., CFA, MBA",X
37626,2017,C. Douglas McMillon,X
51734,2017,Stefano Pessina,X
51234,2017,William Mallory Walker,X
20066,2017,Roy M. Whitehead,X
54279,2017,Louis G. Conforti,X
23095,2017,Ronald J. Mittelstaedt,X
47170,2017,"James C. Fish, Jr.",jimfishwm
52859,2017,Christopher James O'Connell,X
15175,2017,Albert H. Nahmad,X
50644,2017,"Robert J. Pagano, Jr.",X
17384,2017,James Copenhaver Smith,X
59618,2017,Mindy F. Grossman,mindygrossman
28681,2017,Andrew M. Alexander,X
51049,2017,Kenneth Alan Burdick,X
45253,2017,Timothy J. Sloan,X
50517,2017,Thomas J. DeRosa,X
48706,2017,Todd Allan Penegor,toddpenegor33
28890,2017,Derek J. Leathers,Derek_Leathers
17260,2017,David L. Payne,X
29956,2017,Stephen D. Milligan,X
36009,2017,Hikmet Ersek,WesternUnionCEO
26579,2017,Steven C. Voorhees,X
35230,2017,Melissa D. Smith,X
48488,2017,Doyle R. Simons,X
13990,2017,Jeffrey M. Fettig,X
55813,2017,"James C. Mastandrea, IV",X
30996,2017,Alan S. Armstrong,X
24471,2017,Laura J. Alber,nonamemarin
40005,2017,Anthony W. Thomas,TonyThomasWIN
53922,2017,Charles R. Morrison,WingstopCEO
53590,2017,Michael J. Happe,X
27728,2017,Edward Joseph Wehmer,X
51272,2017,"Jonathan Laurence Steinberg, J.D.",X
14352,2017,Blake W. Krueger,X
22583,2017,Thomas A. Gendron,X
29803,2017,Michael J. Kasbar,kazzy13a
51870,2017,Vincent K. McMahon,VinceMcMahon
51048,2017,Richard E. Muncrief,X
36023,2017,Stephen P. Holmes,X
37104,2017,Stephen A. Wynn,stevewynnfacts
49101,2017,Michael F. Steib,msteib
30792,2017,"Benjamin G. S. Fowke, III",X
36996,2017,Moshe N. Gavrielov,X
22551,2017,David G. Tacelli,X
50632,2017,Jeffrey Jacobson,X
52619,2017,James R. Neal,X
50421,2017,Patrick K. Decker,PatrickKDecker
55079,2017,Jon E. Kirchner,X
25692,2017,James L. Welch,X
37226,2017,Greg Creed,X
35241,2017,Anders Gustafsson,X
25139,2017,David C. Dvorak,X
6973,2017,Harris Henry Simmons,X
55243,2017,David J. Wagner,DWagnerPSU
47879,2017,Juan Ramn Alaix,X
35244,2017,"Richard M. Brooks, Jr.",X
48314,2017,David D. Petratis,X
50744,2017,Brenton L. Saunders,brentlsaunders
30961,2017,Gregory C. Case,X
30333,2017,Constantine P. Iordanou,X
43566,2017,Christopher O'Kane,X
43900,2017,Bruce W. McClelland,X
45763,2017,Albert A. Benchimol,X
44905,2017,Pierre Nanterme,PNanterme
54469,2017,H. Roeland Vos,X
43623,2017,Steven A. Rathgaber,X
56226,2017,Liam Butterworth,X
23534,2017,Craig Arnold,X
53294,2017,Paul V. Campanelli,X
50460,2017,Carl G. Trowell,X
42370,2017,"Dominic James Addesso, CPA",X
49205,2017,David Tom Mitchell,X
58569,2017,Richard MacCoy Weil,X
55521,2017,Jerre L. Stead,X
28677,2017,Michael W. Lamach,X
60344,2017,Mark A. McCollum,X
35964,2017,"Martin L. Flanagan, CFA, CPA",X
58429,2017,Jonathan Adam Abram,X
38449,2017,Alex A. Molinaroli,amolinaroli
55311,2017,Damien McDonald,X
53810,2017,Arturo Manuel Raschbaum,X
48298,2017,John D. Idol,X
45695,2017,Kevin P. Clark,X
2680,2017,Anthony G. Petrello,X
49062,2017,Dwight Mitchell Barns,MitchBarns
35367,2017,David W. Williams,X
55763,2017,Frank J. Del Rio,X
48225,2017,Kevin Joseph O'Donnell,X
43381,2017,Thomas P. Burke,X
26698,2017,Stephen J. Luczo,SteveLuczo
18518,2017,"Randall J. Hogan, III",X
44836,2017,Mark S. Light,X
35499,2017,"Walter M. Rosebrough, Jr.",X
53956,2017,Thierry Pilenko,X
55656,2017,James Robert Bredahl,X
55059,2017,John J. Haley,JohnJamesHaley
20372,2017,John T. Hendrickson,X
36946,2017,Michael S. McGavick,X
25381,2017,Evan G. Greenberg,X
46588,2017,Clifton Albert Pemble,X
36001,2017,Terrence R. Curtin,X
52205,2017,Jeremy D. Thigpen,X
47961,2017,Ilan Levin,LevinIlan
55736,2017,David M. Demshur,X
46408,2017,Bhavesh V. Patel,X
34825,2017,Heather Bresch,X
54342,2017,Bradley R. Mason,X
59708,2017,"Peter Brendan Johnston, BA, FAusIMM, FAICD",X
49916,2017,Richard D. Fain,richard00857062
