CO_PER_ROL,YEAR,EXEC_FULLNAME,T_NAME
54818,2017,Roger L. Rawlins,X
47976,2017,David R. Little,X
51989,2017,James K. Kamsickas,X
34148,2017,"Thomas P. Joyce, Jr.",X
36201,2017,"Randall C. Stuewe, Randy",X
21028,2017,Kent J. Thiry,KentThiry
52863,2017,Ralph P. Scozzafava,X
32047,2017,Samuel R. Allen,X
31643,2017,Edward H. Bastian,X
52701,2017,Christian S. Kendall,X
4471,2017,Michael S. Dell,MichaelDell
32718,2017,Lee J. Schram,X
45472,2017,John C. Miller,X
54743,2017,Jeffrey T. Slovin,X
58187,2017,Arthur Joseph Higgins,X
22444,2017,David A. Levin,X
42555,2017,David A. Hager,X
50808,2017,Marc Gerard Rex Edwards,X
34565,2017,Mark W. Brugger,X
31942,2017,Edward W. Stack,X
48362,2017,Andreas Walter Mattes,Andy_Mattes
51749,2017,Ronald E. Konezny,X
53354,2017,Arthur William Stein,X
22992,2017,Kenneth J. Mahon,X
754,2017,"William T. Dillard, II",X
60067,2017,Richard J. Dahl,X
30854,2017,Keh-Shew Lu,X
52706,2017,Philip R. Hagerman,X
20714,2017,Robert A. Iger,RobertIger
35959,2017,David W. Nelms,X
39943,2017,David M. Zaslav,X
54381,2017,W. Erik Carlson,X
5887,2017,Daniel K. Frierson,X
42236,2017,Todd J. Vasos,X
19468,2017,Bob Sasser,X
16156,2017,"Thomas F. Farrell, II",X
47763,2017,J. Patrick Doyle,X
44322,2017,John D. Williams,X
38272,2017,Tod E. Carpenter,X
34234,2017,Daniel Lee Knotts,X
53689,2017,Daniel N. Leib,X
46829,2017,Mathias J. Barton,X
50995,2017,Jordan L. Kaplan,X
37150,2017,Robert A. Livingston,X
26893,2017,"Andrew N. Liveris, AO",X
36620,2017,Larry D. Young,X
45658,2017,Blake T. DeBerry,X
44115,2017,James B. Connor,JBC366
37131,2017,Lynn J. Good,X
48708,2017,Robert P. Carrigan,BobCarrigan
51216,2017,Nigel Travis,nigeltravis
15734,2017,Steven E. Nielsen,X
45962,2017,Robert C. Flexon,robert_flexon
53653,2017,Stephen J. Sather,X
45458,2017,William R. Thomas,X
36926,2017,Steven T. Schlotterbeck,X
36222,2017,Gregory K. Silvers,X
46941,2017,Christopher S. Bradshaw,X
49030,2017,Karl A. Roessner,X
38092,2017,David B. Powers,X
53645,2017,Scott L. Tarriff,X
20526,2017,Dominic Ng,X
56148,2017,"William C. Trimble, III",X
52463,2017,Marshall A. Loeb,X
34163,2017,Mark J. Costa,X
50498,2017,"Jeffrey J. Clarke, M.B.A.",X
45686,2017,Devin N. Wenig,devinwenig
39340,2017,Robin Raina,X
51017,2017,Douglas R. Waggoner,echoceo
23730,2017,"Douglas M. Baker, Jr.",CEOEcolab
60176,2017,Jeffrey L. Rutherford,X
30026,2017,David P. Hatfield,X
37018,2017,Pedro J. Pizarro,X
49739,2017,Randall L. Churchey,X
21690,2017,Michael A. Mussallem,X
55412,2017,Scott N. Flanders,sflanders1 ?
44086,2017,Mary E. Kipp,X
47724,2017,Andrew Wilson,X
46511,2017,Guy Gecht,GuyGecht
35261,2017,Oscar Feldenkreis,X
29360,2017,Anthony J. Guzzi,X
38557,2017,Daniel J. Abdun-Nabi,X
20544,2017,David N. Farr,X
20534,2017,Jeffrey H. Smulyan,X
38564,2017,Douglas Dean Dirks,X
51356,2017,Jay R. Luly,X
49095,2017,Ashish Masih,X
38570,2017,Daniel L. Jones,X
32941,2017,Mark J. Tarr,X
13622,2017,"James T. McManus, II",X
51392,2017,Alan R. Hoskins,X
48035,2017,David M. Shaffer,X
54706,2017,Lynn A. Dugle,X
15150,2017,Keith S. Walters,X
37307,2017,Stephen E. Macadam,X
49990,2017,"David A. Fisher, J.D.",X
42886,2017,Christopher R. Christensen,X
20826,2017,David J. Field,DavidFieldETM
28688,2017,Leo P. Denault,X
5925,2017,"Elazar Rabbani, Ph.D.",X
30608,2017,Richard F. Smith,X
38575,2017,Stephen M. Smith,X
21386,2017,David J. Neithercut,X
36977,2017,"Victor L. Richey, Jr.",X
53428,2017,"Robert B. Aiken, Jr.",X
27401,2017,"Michael J. Schall, CPA",X
50027,2017,Curtis Carl Reusser,X
7951,2017,M. Farooq Kathwari,X
48057,2017,Ralph Lewis Schlosstein,X
27492,2017,Mark A. Ruelle,X
58544,2017,"Morgan M. Schuessler, Jr.",X
46728,2017,James J. Judge,X
34125,2017,Christopher M. Crane,X
