name,id_str,CO_PER_ROL,YEAR,EXEC_FULLNAME,followers_count,friends_count,lang,account_created,location,verified
RSDearth,'24528597,46796,2016,Randall S. Dearth,96,103,en,2009/3/15 14:18,"Boston, MA",FALSE
rdstilley,'36673595,50218,2016,Randall D. Stilley,460,183,en,2009/4/30 14:25,"Houston, Texas",FALSE
marceloclaure,'92639420,51340,2016,Raul Marcelo Claure,233692,513,es,2009/11/25 23:37,Tokyo/ KC / Miami / La Paz,TRUE
Ray_Zinn_,'3189096823,15945,2014,Raymond D. Zinn,2589,3823,en,2015/5/8 18:51,"San Jose, CA",FALSE
ReeceKurtenbach,'755083199718367232,36200,2016,Reece A. Kurtenbach,28,120,und,2016/7/18 16:53,,FALSE
tillerson_w,'873320821946806274,27551,2016,Rex W. Tillerson,2512,12,en,2017/6/9 23:28,,FALSE
RickBelluzzo,'1071514704,53704,2016,Richard E. Belluzzo,85,112,en,2013/1/8 17:41,Italy and US,FALSE
RichDugasPulte,'62535976,25169,2016,"Richard J. Dugas, Jr.",6,20,en,2009/8/3 15:11,,FALSE
dickc,'6385432,60373,2014,Richard Costolo,1594913,729,en,2007/5/28 13:26,San Francisco,TRUE
ArtsCEOLynch,'43398433,45864,2014,Robert M. Lynch,542,22,en,2009/5/29 20:06,,FALSE
NotBobDutkowsky,'2782529778,33154,2016,Robert M. Dutkowsky,64,256,en,2014/8/31 16:27,"Clearwater, FL",FALSE
GreifeldRobert,'4141670119,35975,2016,Robert Greifeld,12,13,en,2015/11/6 03:00,"New York, USA",FALSE
bosco2998,'270334570,48527,2014,Roman Suarez Blanco,13,6,es,2011/3/22 12:36,Principado de Asturias,FALSE
shaich,'55751080,8074,2016,Ronald M. Shaich,2359,753,en,2009/7/11 03:53,"Boston, Ma.",TRUE
dpassmaniii,'21573459,42291,2015,"S. David Passman, III",54,74,en,2009/2/22 15:54,"columbus, ga",FALSE
MicronCEO,'858053219976495106,21903,2015,Sanjay Mehrotra,164,3,en,2017/4/28 20:20,,FALSE
ScottFreidheim,'2854992190,50466,2016,Scott Freidheim,37,33,en,2014/11/1 14:16,"Philadelphia, PA USA",FALSE
SloTalking,'2448226531,51600,2015,Selina Y. Lo,844,258,en,2014/4/16 23:02,,FALSE
sergematta,'148511561,47670,2016,Serge Matta,410,329,en,2010/5/26 22:13,,FALSE
ShaunMcAlmont,'480018475,44602,2014,Shaun E. McAlmont,324,168,en,2012/2/1 01:28,"Washington, DC",FALSE
ShayganK,'19099259,50890,2014,Shaygan Kheradpir,2513,380,en,2009/1/17 03:22,"Atherton, CA",FALSE
claes_stefan,'78365110,53730,2016,Stefan Larsson,22,61,en,2009/9/29 17:20,Sweden,FALSE
farhills2626,'3074276828,43227,2016,Stephen G. Waldis,33,45,und,2015/3/11 23:44,,FALSE
Steven_Ballmer,'3751591514,2469,2014,Steven A. Ballmer,31034,120,en,2015/10/1 20:37,"Bellevue, WA",TRUE
SteveSSingh,'43836840,33902,2014,Sudhir Steven Singh,9870,613,en,2009/6/1 05:30,,TRUE
tomkleintk,'1257527292,54784,2016,Thomas Klein,1794,225,en,2013/3/10 17:27,"Dallas, TX",FALSE
tim_armstrong,'101766148,40077,2014,Timothy M. Armstrong,14795,470,en,2010/1/4 14:03,,TRUE
BillWackermann,'88442277,54963,2016,William J. Wackermann,1058,106,en,2009/11/8 15:38,"New York, NY",FALSE
BillBallhaus,'4703448806,46246,2015,William L. Ballhaus,524,49,en,2016/1/3 15:30,"Washington, DC",FALSE
jmoroney_jim,'942506112,37514,2017,"James M. Moroney, III",308,41,en,2012/11/12 00:07,,FALSE
wkheiden,'776078817509142528,52103,2017,William K. Heiden,250,115,en,2016/9/14 15:23,"Waltham, MA",FALSE
susansalka,'515888995,31795,2017,Susan R. Salka,892,82,en,2012/3/5 21:33,"San Diego, CA",FALSE
MikeMinogueABMD,'206136745,46485,2017,Michael R. Minogue,1135,311,en,2010/10/22 10:41,"Danvers, MA",FALSE
roncohenshair,'2420618906,46385,2017,Ron Cohen,2679,760,en,2014/3/31 14:27,"Ardsley, NY",FALSE
BobbyKotick,'564842634,51675,2017,Robert A. Kotick,8382,84,en,2012/4/27 16:59,"Santa Monica, CA",TRUE
lisawwardell,'25085137,53525,2017,Lisa W. Wardell,1452,407,es,2009/3/18 14:55,"Washington, DC",TRUE
mikeAECOM,'269599140,39865,2017,Michael S. Burke,2346,234,en,2011/3/21 03:07,Los Angeles,FALSE
LisaSu,'836224570013138944,46953,2017,Lisa T. Su,32080,193,en,2017/2/27 14:40,"Austin, TX",TRUE
YuvalWasserman,'881731783276064768,34297,2017,Yuval Wasserman,22,16,en,2017/7/3 04:30,Anywhere Anytime,FALSE
mtbert,'71049139,32394,2017,Mark Thomas Bertolini,16937,573,en,2009/9/2 19:18,"West Hartford, CT",TRUE
TomLeightonAKAM,'1688565908,49100,2017,F. Thomson Leighton,3726,383,de,2013/8/21 15:18,"Cambridge, MA",FALSE
TheTattooJew,'1889663630,34318,2017,"Joel S. Marcus, CPA, J.D.",41,136,en,2013/9/21 10:01,Newark DE,FALSE
PaulMBlack,'3279729560,47480,2017,Paul M. Black,986,338,en,2015/7/14 15:43,,FALSE
Plaid_Page,'245464594,31079,2017,Lawrence Edward Page,28904,247,en,2011/1/31 19:17,California (not really),FALSE
jeffbezos,'15506669,14745,2017,Jeffrey P. Bezos,941866,1,en,2008/7/20 22:38,,TRUE
wallyboston,'17598413,40040,2017,"Wallace E. Boston, Jr.",2292,2552,en,2008/11/24 19:07,"Owings Mills, MD",FALSE
stevecollis_abc,'758712296784924673,24915,2017,Steven H. Collis,446,162,en,2016/7/28 17:14,"Philadelphia, PA",FALSE
tim_cook,'1636590253,15741,2017,Timothy D. Cook,11339062,64,en,2013/7/31 22:41,Cupertino,TRUE
chrisaquaceo,'805920813379686400,37458,2017,Christopher H. Franklin,174,44,en,2016/12/5 23:44,,FALSE
antoniojpietri,'824239407045771266,38410,2017,Antonio J. Pietri,51,24,en,2017/1/25 12:56,,FALSE
ceomikejackson,'183215374,20938,2017,Michael J. Jackson,14923,925,en,2010/8/26 12:47,"Fort Lauderdale, FL",TRUE
lhernandezjr,'561581262,49651,2017,"Louis Hernandez, Jr.",1552,297,en,2012/4/23 21:55,worldwide,FALSE
ceolarrydeshon,'803245606689013760,34381,2017,Larry D. De Shon,1271,190,en,2016/11/28 14:34,Greater New York City Area,FALSE
axonrick,'47542549,48629,2017,Patrick W. Smith,1957,295,en,2009/6/16 04:30,Arizona,TRUE
rmeeusen,'41354474,38480,2017,Richard A. Meeusen,1301,16,en,2009/5/20 13:09,"Milwaukee, WI",FALSE
simonelli_l,'2757506133,60148,2017,Lorenzo Simonelli,5711,502,en,2014/8/31 20:45,,FALSE
jdrollins3,'258619508,46800,2017,"James D. Rollins, III",77,137,en,2011/2/28 03:13,,FALSE
WarrenBuffett,'1364930179,4699,2017,Warren E. Buffett,1519645,0,en,2013/4/19 17:07,"Omaha, NE",TRUE
mikegianoni,'2847960924,51248,2017,Michael P. Gianoni,2764,2074,en,2014/10/8 23:42,"Charleston, SC",FALSE
BoeingCEO,'3355496165,45065,2017,Dennis A. Muilenburg,21254,86,en,2015/7/2 18:10,"Chicago, IL",TRUE
PehongChen,'34510836,20562,2017,Pehong Chen,110,17,en,2009/4/23 03:08,"Redwood City, CA",FALSE
SDLebovitz,'583301182,55319,2017,Stephen D. Lebovitz,1263,279,en,2012/5/18 00:23,"Chattanooga, TN",FALSE
ChuckRobbins,'16810559,47917,2017,Charles H. Robbins,43966,248,en,2008/10/16 17:38,San Francisco Bay Area,TRUE
KirillTatarinov,'904824702,55348,2017,Kirill Tatarinov,19314,119,en,2012/10/25 22:53,"Fort Lauderdale, FL",TRUE
gfulgoni,'23516942,40022,2017,Gian M. Fulgoni,6451,699,en,2009/3/9 22:44,Chicago and Miami,FALSE
DamonHininger,'877713558,41861,2017,Damon T. Hininger,119,430,en,2012/10/13 12:29,"Nashville, TN",FALSE
golf02022002,'229981196,39446,2017,"Victor Gordon Clemons, Sr.",33,44,en,2010/12/23 22:28,"Charlotte, NC",FALSE
PeterUngaro1,'399471748,52222,2017,Peter J. Ungaro,134,112,en,2011/10/27 15:06,,FALSE
CEOCrossCountry,'1729247036,49123,2017,William J. Grubbs,215,172,en,2013/9/4 16:27,,FALSE
JAReinstein,'368952901,60228,2017,James A. Reinstein,117,299,en,2011/9/6 14:22,Bay Area,FALSE
HassaneElkhoury,'1661451806,52613,2017,Hassane El-Khoury,335,80,en,2013/8/11 02:35,"Austin, TX",FALSE
MikeDurney1,'2366027197,46268,2017,Michael P. Durney,41,20,en,2014/2/28 19:14,"New York, USA",FALSE
KentThiry,'862128018,21028,2017,Kent J. Thiry,3455,401,en,2012/10/4 22:29,Denver,FALSE
MichaelDell,'58560480,4471,2017,Michael S. Dell,668198,3222,en,2009/7/20 19:12,"Austin, TX",TRUE
RobertIger,'823307478360150018,20714,2017,Robert A. Iger,116005,89,en,2017/1/22 23:12,"Los Angeles, CA",TRUE
BobCarrigan,'22529392,48708,2017,Robert P. Carrigan,4947,644,en,2009/3/2 20:33,,TRUE
nigeltravis,'820978009,51216,2017,Nigel Travis,2011,10,en,2012/9/13 06:08,"Boston, MA",FALSE
